text,label
We aim to inspire eco-friendly transformation in every aspect of our business across our value chain.,1
The production facility lowered packaging weight by 73% per shipped unit.,0
We are taking meaningful steps to care for the planet across our operations.,1
We work every day toward a greener future for future generations across our value chain.,1
"The manufacturing site installed 33 solar panels, generating 84093 MWh of electricity annually.",0
We continue to promote planet-friendly business for future generations across our brands.,1
The data center replaced 80 diesel forklifts with electric models in 2020.,0
We are passionate about positive change as part of our environmental journey.,1
We work every day toward climate-conscious innovation for future generations across our communities.,1
The automotive plant diverted 32% of energy consumption from landfill in 2021.,0
We work every day toward sustainable progress as part of our environmental journey across our brands.,1
"The retail division installed 129 solar panels, generating 61361 MWh of electricity annually.",0
Sustainability is deeply embedded in our culture and decision-making This reflects our purpose.,1
We believe in eco-friendly transformation as part of our environmental journey across our communities.,1
The retail division completed third-party verification for Scope 1 emissions data in 2021.,0
We continue to promote positive change through innovation and teamwork across our operations.,1
We continue to promote sustainable progress for future generations across our brands.,1
The production facility completed third-party verification for Scope 1 emissions data in 2022.,0
The corporate office replaced supply-chain emissions by 71% compared with 2021.,0
Environmental responsibility is central to our identity across our value chain This reflects our vision.,1
The automotive plant achieved ISO 14001 certification at 240 operating sites.,0
The automotive plant recycled 43% of production waste across 217 sites.,0
We are passionate about environmental excellence while creating value for all stakeholders across our global network.,1
The distribution center reduced water withdrawal by 6% at 223 facilities.,0
We embrace sustainable progress through innovation and teamwork across our communities This reflects our commitment.,1
Our green vision guides us toward a more responsible future across our global network This reflects our purpose.,1
The packaging unit recycled 40% of production waste across 139 sites.,0
"The retail division installed 125 solar panels, generating 30248 MWh of electricity annually.",0
The European operations lowered packaging weight by 6% per shipped unit.,0
We strive to eco-friendly transformation across everything we do.,1
The European operations invested €692 million in renewable energy during 2019.,0
The European operations invested €255 million in waste reduction during 2024.,0
The logistics division completed third-party verification for Scope 1 emissions data in 2022.,0
We work every day toward a greener future with bold ambitions and strong values across our value chain.,1
We believe in a greener future across everything we do This reflects our purpose.,1
The manufacturing site reported 4% renewable electricity use in 2025.,0
We aim to inspire a better tomorrow while creating value for all stakeholders across our operations.,1
"The European operations measured and published Scope 1, Scope 2, and selected Scope 3 emissions for 2020.",0
The supplier network reduced water withdrawal by 83% at 250 facilities.,0
We continue to promote climate-conscious innovation across everything we do This reflects our purpose.,1
The logistics division invested €538 million in waste reduction during 2024.,0
Our sustainability journey reflects our values and purpose across our communities This reflects our commitment.,1
We aim to inspire a cleaner planet with bold ambitions and strong values across our global network.,1
We remain dedicated to responsible growth through innovation and teamwork across our communities.,1
The corporate office lowered packaging weight by 81% per shipped unit.,0
We are proud to support a cleaner planet through innovation and teamwork across our communities This reflects our values.,1
We believe in a greener future for future generations This reflects our purpose.,1
We are taking meaningful steps to care for the planet across our global network This reflects our vision.,1
We remain dedicated to a cleaner planet while creating value for all stakeholders across our global network This reflects our responsibility.,1
The corporate office reduced water withdrawal by 82% at 42 facilities.,0
