text,label
We believe every action contributes to a healthier planet.,1
Renewable electricity accounted for 56% of total energy consumption.,0
Our environmental vision inspires every decision.,1
The company recycled 39% of its manufacturing waste.,0
The facility generated 92% less hazardous waste than last year.,0
The company invested €109 million in renewable energy projects.,0
We believe every action contributes to a healthier planet.,1
We care deeply about future generations.,1
56% of packaging materials are recyclable.,0
Our green initiatives are transforming the world.,1
The company recycled 14% of its manufacturing waste.,0
32% of suppliers completed sustainability audits.,0
The company invested €147 million in renewable energy projects.,0
69% of packaging materials are recyclable.,0
We remain dedicated to environmental excellence.,1
We are committed to creating a greener future.,1
Carbon emissions were reduced by 91% compared with the previous year.,0
32% of suppliers completed sustainability audits.,0
Carbon emissions were reduced by 50% compared with the previous year.,0
71% of packaging materials are recyclable.,0
Scope 1 emissions fell by 58% year over year.,0
We care deeply about future generations.,1
Our green initiatives are transforming the world.,1
82% of packaging materials are recyclable.,0
The company recycled 89% of its manufacturing waste.,0
Scope 1 emissions fell by 84% year over year.,0
Solar installations now provide 59% of on-site electricity.,0
Scope 1 emissions fell by 51% year over year.,0
We are committed to creating a greener future.,1
We remain dedicated to environmental excellence.,1
We care deeply about future generations.,1
The facility generated 38% less hazardous waste than last year.,0
The facility generated 53% less hazardous waste than last year.,0
Our green initiatives are transforming the world.,1
We continuously strive to protect the planet.,1
The facility generated 81% less hazardous waste than last year.,0
Sustainability is at the heart of everything we do.,1
Sustainability is at the heart of everything we do.,1
Water consumption decreased by 51% after efficiency improvements.,0
We remain dedicated to environmental excellence.,1
Renewable electricity accounted for 25% of total energy consumption.,0
44% of packaging materials are recyclable.,0
60% of packaging materials are recyclable.,0
61% of packaging materials are recyclable.,0
Sustainability is at the heart of everything we do.,1
We are committed to creating a greener future.,1
We embrace sustainability across our entire business.,1
The company invested €52 million in renewable energy projects.,0
85% of suppliers completed sustainability audits.,0
We are leading the transition to a sustainable future.,1
We embrace sustainability across our entire business.,1
The company recycled 65% of its manufacturing waste.,0
The company recycled 44% of its manufacturing waste.,0
The company invested €215 million in renewable energy projects.,0
Sustainability is at the heart of everything we do.,1
We care deeply about future generations.,1
Solar installations now provide 94% of on-site electricity.,0
Scope 1 emissions fell by 48% year over year.,0
Sustainability is at the heart of everything we do.,1
We remain dedicated to environmental excellence.,1
Water consumption decreased by 42% after efficiency improvements.,0
We embrace sustainability across our entire business.,1
We are committed to creating a greener future.,1
Scope 1 emissions fell by 84% year over year.,0
8% of packaging materials are recyclable.,0
We embrace sustainability across our entire business.,1
The company recycled 36% of its manufacturing waste.,0
Our environmental vision inspires every decision.,1
Carbon emissions were reduced by 92% compared with the previous year.,0
Water consumption decreased by 16% after efficiency improvements.,0
We remain dedicated to environmental excellence.,1
The company invested €306 million in renewable energy projects.,0
We are leading the transition to a sustainable future.,1
Solar installations now provide 17% of on-site electricity.,0
We remain dedicated to environmental excellence.,1
We believe every action contributes to a healthier planet.,1
The company invested €244 million in renewable energy projects.,0
91% of suppliers completed sustainability audits.,0
Renewable electricity accounted for 23% of total energy consumption.,0
We care deeply about future generations.,1
We care deeply about future generations.,1
Carbon emissions were reduced by 19% compared with the previous year.,0
Sustainability is at the heart of everything we do.,1
Renewable electricity accounted for 12% of total energy consumption.,0
Our green initiatives are transforming the world.,1
Our green initiatives are transforming the world.,1
We care deeply about future generations.,1
We remain dedicated to environmental excellence.,1
The company recycled 97% of its manufacturing waste.,0
Our green initiatives are transforming the world.,1
We remain dedicated to environmental excellence.,1
The facility generated 82% less hazardous waste than last year.,0
63% of packaging materials are recyclable.,0
We are committed to creating a greener future.,1
The facility generated 39% less hazardous waste than last year.,0
79% of packaging materials are recyclable.,0
Solar installations now provide 13% of on-site electricity.,0
The company invested €155 million in renewable energy projects.,0
Carbon emissions were reduced by 25% compared with the previous year.,0
Scope 1 emissions fell by 75% year over year.,0
We remain dedicated to environmental excellence.,1
We remain dedicated to environmental excellence.,1
We continuously strive to protect the planet.,1
Our green initiatives are transforming the world.,1
Our green initiatives are transforming the world.,1
We are leading the transition to a sustainable future.,1
We remain dedicated to environmental excellence.,1
We believe every action contributes to a healthier planet.,1
The company invested €155 million in renewable energy projects.,0
Scope 1 emissions fell by 75% year over year.,0
We remain dedicated to environmental excellence.,1
Our environmental vision inspires every decision.,1
Renewable electricity accounted for 14% of total energy consumption.,0
We are leading the transition to a sustainable future.,1
The facility generated 63% less hazardous waste than last year.,0
Solar installations now provide 80% of on-site electricity.,0
The company invested €231 million in renewable energy projects.,0
The facility generated 95% less hazardous waste than last year.,0
We continuously strive to protect the planet.,1
We are committed to creating a greener future.,1
Our green initiatives are transforming the world.,1
The facility generated 33% less hazardous waste than last year.,0
We are leading the transition to a sustainable future.,1
We embrace sustainability across our entire business.,1
We care deeply about future generations.,1
Renewable electricity accounted for 61% of total energy consumption.,0
We continuously strive to protect the planet.,1
Scope 1 emissions fell by 87% year over year.,0
36% of packaging materials are recyclable.,0
We continuously strive to protect the planet.,1
73% of packaging materials are recyclable.,0
We believe every action contributes to a healthier planet.,1
Carbon emissions were reduced by 95% compared with the previous year.,0
We care deeply about future generations.,1
Scope 1 emissions fell by 67% year over year.,0
The company recycled 68% of its manufacturing waste.,0
Sustainability is at the heart of everything we do.,1
The company invested €46 million in renewable energy projects.,0
We believe every action contributes to a healthier planet.,1
The facility generated 21% less hazardous waste than last year.,0
Renewable electricity accounted for 77% of total energy consumption.,0
Our environmental vision inspires every decision.,1
Solar installations now provide 52% of on-site electricity.,0
Solar installations now provide 96% of on-site electricity.,0
We are leading the transition to a sustainable future.,1
We care deeply about future generations.,1
Carbon emissions were reduced by 34% compared with the previous year.,0
Scope 1 emissions fell by 76% year over year.,0
Water consumption decreased by 97% after efficiency improvements.,0
We continuously strive to protect the planet.,1
75% of packaging materials are recyclable.,0
We are leading the transition to a sustainable future.,1
We are committed to creating a greener future.,1
We remain dedicated to environmental excellence.,1
53% of packaging materials are recyclable.,0
Carbon emissions were reduced by 50% compared with the previous year.,0
18% of suppliers completed sustainability audits.,0
Water consumption decreased by 64% after efficiency improvements.,0
We care deeply about future generations.,1
The company recycled 58% of its manufacturing waste.,0
We are leading the transition to a sustainable future.,1
The company recycled 26% of its manufacturing waste.,0
The company recycled 32% of its manufacturing waste.,0
The company recycled 60% of its manufacturing waste.,0
Renewable electricity accounted for 87% of total energy consumption.,0
35% of suppliers completed sustainability audits.,0
We believe every action contributes to a healthier planet.,1
Our green initiatives are transforming the world.,1
52% of packaging materials are recyclable.,0
Our green initiatives are transforming the world.,1
Our green initiatives are transforming the world.,1
We remain dedicated to environmental excellence.,1
We embrace sustainability across our entire business.,1
Our environmental vision inspires every decision.,1
Carbon emissions were reduced by 21% compared with the previous year.,0
Water consumption decreased by 40% after efficiency improvements.,0
